"","sex","ethnicity","weight","height","age"
"4775","F","European",54,1.62,22
"4776","F","European",64,1.68,20
"4777","F","European",110.6,1.67,54
"4791","F","European",69,1.63,48
"4801","F","European",49.2,1.63,31
"4803","F","European",61.2,1.69,27
"4810","F","European",59,1.73,22
"4816","F","European",54,1.63,37
"4818","F","European",70,1.54,40
"4830","F","European",52,1.53,59
"4834","F","European",69.8,1.67,52
"4835","F","European",61.4,1.66,49
"4837","F","European",48.6,1.59,26
"4840","F","European",73.4,1.66,27
"4841","F","European",57,1.61,19
"4843","F","European",48.4,1.63,21
"4852","F","European",67.8,1.59,30
"4856","F","European",101,1.75,44
"4857","F","European",65,1.52,33
"4862","F","European",46,1.62,34
"4863","F","European",61.1,1.65,25
"4885","F","European",54.2,1.71,23
"4890","F","European",54.6,1.63,45
"4895","F","European",89,1.6,56
"4897","F","European",60.8,1.61,25
"4898","F","European",74.2,1.68,43
"4914","F","European",64,1.63,40
"4918","F","European",62,1.71,30
"4919","F","European",82,1.6,29
"4928","F","European",66,1.64,41
"4946","F","European",67.6,1.6,54
"4960","F","European",61,1.61,43
"4961","F","European",70.6,1.59,46
"4965","F","European",68.5,1.73,22
"4966","F","European",59,1.66,19
"4974","F","European",70,1.69,48
"4976","F","European",65.8,1.62,48
"4978","F","European",76.8,1.75,38
"4981","F","European",52,1.62,50
"4984","F","European",58,1.61,56
"4985","F","European",61.6,1.69,23
"4987","F","European",61,1.66,45
"4999","F","European",53,1.71,28
"5000","F","European",55.4,1.3,23
"5003","F","European",48,1.57,23
"5010","F","European",68,1.63,25
"5015","F","European",72,1.68,54
"5024","F","European",82,1.67,50
"5026","F","European",66,1.52,53
"5031","F","European",55.2,1.68,21
"5042","F","European",65,1.6,41
"5063","F","European",76,1.63,61
"5064","F","European",63.6,1.63,33
"5078","F","European",56,1.62,46
"5091","F","European",63.8,1.65,30
"5097","F","European",98,1.59,51
"5098","F","European",103,1.6,45
"5103","F","European",71,1.71,33
"5106","F","European",77,1.52,27
"5112","F","European",57,1.58,27
"5115","F","European",67,1.69,27
"5116","F","European",67.5,1.57,51
"5127","F","European",57,1.65,23
"5128","F","European",63,1.64,30
"5148","F","European",55.5,1.61,46
"5165","F","European",53,1.58,24
"5171","F","European",63,1.59,25
"5177","F","European",64.8,1.66,43
"5180","F","European",52,1.64,37
"5188","F","European",63.8,1.55,45
"5189","F","European",52.6,1.62,27
"5190","F","European",58,1.61,47
"5197","F","European",70.4,1.63,43
"5199","F","European",71,1.67,48
"5208","F","European",66,1.71,24
"5219","F","European",47,1.51,23
"5233","F","European",70,1.72,23
"5236","F","European",57,1.61,29
"5237","F","European",72.6,1.62,50
"5239","F","European",66,1.62,26
"5246","F","European",55,1.58,30
"5252","F","European",72,1.65,43
"5259","F","European",60.6,1.72,24
"5263","F","European",64,1.67,26
"5268","F","European",66,1.62,26
"5271","F","European",74.2,1.74,32
"5272","F","European",62.6,1.65,24
"5277","F","European",68,1.68,23
"5280","F","European",65,1.67,28
"5284","F","European",73.4,1.65,41
"5299","F","European",119,1.72,34
"5304","F","European",77,1.64,23
"5305","F","European",70.4,1.61,50
"5312","F","European",82,1.63,50
"5316","F","European",70.6,1.68,27
"5320","F","European",73.6,1.64,47
"5321","F","European",88,1.75,45
"5325","F","European",52,1.64,30
"5327","F","European",74,1.76,29
"5337","F","European",68.4,1.77,26
"5338","F","European",62.5,1.54,40
"5339","F","European",74,1.74,28
"5340","F","European",53,1.53,42
"5351","F","European",56,1.52,21
"5355","F","European",69,1.7,21
"5361","F","European",67,1.71,20
"5365","F","European",50,1.65,43
"5366","F","European",64,1.63,48
"5367","F","European",68,1.71,19
"5369","F","European",58.2,1.7,39
"5373","F","European",56.5,1.64,26
"5379","F","European",77,1.73,47
"5383","F","European",77,1.78,29
"5390","F","European",63.2,1.64,39
"5392","F","European",62,1.62,51
"5395","F","European",71.5,1.64,34
"5399","F","European",50,1.48,25
"5402","F","European",67.4,1.72,26
"5408","F","European",73,1.73,56
"5412","F","European",80,1.63,31
"5415","F","European",57,1.53,29
"5426","F","European",75.6,1.64,40
"5429","F","European",100,1.63,43
"5442","F","European",46.5,1.51,22
"5445","F","European",85.2,1.57,46
"5452","F","European",59,1.66,40
"5454","F","European",66.4,1.8,31
"5459","F","European",66,1.83,22
"5465","F","European",70,1.83,22
"5467","F","European",69.8,1.6,44
"5470","F","European",56,1.57,39
"5477","F","European",59.8,1.59,56
"5478","F","European",64.2,1.65,40
"5487","F","European",56,1.58,42
"5490","F","European",75,1.72,32
"5493","F","European",58,1.58,60
"5500","F","European",66,1.66,45
"5504","F","European",53.5,1.61,38
"5514","F","European",65,1.66,39
"5516","F","European",68,1.7,46
"5518","F","European",62.6,1.7,32
"5522","F","European",60.6,1.61,44
"5528","F","European",65.2,1.65,31
"5531","F","European",51,1.57,24
"5545","F","European",62.4,1.63,29
"5547","F","European",63,1.65,20
"5561","F","European",67,1.67,41
"5564","F","European",66.4,1.76,27
"5565","F","European",61,1.68,22
"5566","F","European",63.4,1.63,36
"5574","F","European",46.2,1.55,39
"5575","F","European",59.6,1.58,23
"5582","F","European",67.8,1.7,42
"5584","F","European",78,1.65,32
"5592","F","European",48.2,1.61,20
"5593","F","European",104,1.62,29
"5598","F","European",75,1.79,38
"5603","F","European",76,1.64,36
"5604","F","European",76,1.67,29
"5607","F","European",55,1.69,55
"5608","F","European",71,1.65,27
"5610","F","European",58.4,1.64,40
"5635","F","European",63,1.66,50
"5650","F","European",70,1.76,51
"5656","F","European",62,1.64,30
"5664","F","European",63,1.6,60
"5665","F","European",64,1.64,31
"5668","F","European",56,1.66,25
"5679","F","European",97.4,1.68,29
"5683","F","European",57,1.68,39
"5684","F","European",64,1.69,36
"5689","F","European",72.8,1.76,44
"5699","F","European",74.8,1.59,49
"5704","F","European",52,1.62,49
"5708","F","European",72,1.69,21
"5726","F","European",56.2,1.67,27
"5737","F","European",70,1.62,47
"5739","F","European",74,1.66,50
"5758","F","European",53,1.6,38
"5762","F","European",76,1.79,22
"5764","F","European",53,1.53,39
"5765","F","European",64,1.61,53
"5767","F","European",70,1.76,23
"5769","F","European",60.2,1.7,46
"5771","F","European",72,1.68,27
"5785","F","European",59,1.61,31
"5800","F","European",67,1.64,30
"5801","F","European",62,1.67,40
"5809","F","European",94.4,1.68,43
"5813","F","European",69,1.73,30
"5819","F","European",57,1.54,34
"5825","F","European",62.5,1.72,23
"5838","F","European",68.8,1.71,33
"5840","F","European",69,1.68,45
"5852","F","European",58,1.58,41
"5863","F","European",61.6,1.67,38
"5871","F","European",65,1.66,59
"5873","F","European",68.6,1.67,50
"5875","F","European",62,1.73,29
"5877","F","European",78,1.67,42
"5883","F","European",66,1.72,27
"5904","F","European",54,1.64,37
"5912","F","European",63.4,1.66,20
"5916","F","European",59,1.58,26
"5919","F","European",65,1.77,18
"5922","F","European",74,1.8,27
"5931","F","European",65.8,1.63,45
"5937","F","European",56,1.63,28
"5947","F","European",58.6,1.63,24
"5956","F","European",62.6,1.68,26
"5964","F","European",71,1.58,28
"5972","F","European",65.2,1.59,22
"5979","F","European",76.6,1.59,19
"5981","F","European",93,1.74,44
"5982","F","European",71.6,1.62,27
"5984","F","European",57.4,1.71,28
"5986","F","European",64,1.58,46
"5988","F","European",60.8,1.74,35
"5990","F","European",62.4,1.76,41
"5996","F","European",69.5,1.7,55
"6001","F","European",72.4,1.72,29
"6003","F","European",65.8,1.63,52
"6005","F","European",60,1.68,31
"6008","F","European",56.2,1.62,54
"6012","F","European",63.5,1.67,28
"6016","F","European",104,1.68,37
"6020","F","European",48.8,1.59,45
"6029","F","European",64,1.71,21
"6039","F","European",60,1.67,47
"6043","F","European",72.8,1.75,47
"6046","F","European",59,1.65,22
"6051","F","European",68,1.7,39
"6053","F","European",60,1.67,29
"6061","F","European",72.6,1.71,30
"6072","F","European",58.6,1.61,24
"6074","F","European",63.9,1.63,59
"6077","F","European",80,1.64,50
"6079","F","European",57,1.54,41
"6082","F","European",61.2,1.7,30
"6083","F","European",55.2,1.62,42
"6084","F","European",61.4,1.65,42
"6090","F","European",78,1.75,21
"6105","F","European",72.6,1.68,44
"6113","F","European",72.6,1.7,40
"6117","F","European",55,1.59,44
"6121","F","European",64.6,1.75,23
"6125","F","European",74,1.57,50
"6133","F","European",65,1.59,55
"6140","F","European",51,1.56,20
"6148","F","European",60.4,1.68,23
"6150","F","European",65,1.66,23
"6156","F","European",58.4,1.67,26
"6160","F","European",69.2,1.61,48
"6163","F","European",65.5,1.72,46
"6178","F","European",75,1.53,58
"6186","F","European",75,1.65,48
"6187","F","European",68,1.68,22
"6189","F","European",64.6,1.6,25
"6191","F","European",78,1.65,53
"6199","F","European",61.7,1.65,47
"6233","F","European",84.2,1.66,37
"6234","F","European",68,1.67,29
"6237","F","European",98,1.68,47
"6240","F","European",50.6,1.54,18
"6246","F","European",69.5,1.6,42
"6250","F","European",61.5,1.61,24
"6252","F","European",53.6,1.56,20
"6258","F","European",67.6,1.61,27
"6260","F","European",52.8,1.62,29
"6270","F","European",63,1.71,19
"6275","F","European",70.4,1.65,24
"6276","F","European",82,1.71,42
"6287","F","European",65,1.65,18
"6305","F","European",63,1.58,53
"6310","F","European",104.4,1.58,45
"6312","F","European",65,1.61,47
"6314","F","European",64,1.66,29
"6316","F","European",52.5,1.62,39
"6320","F","European",70.2,1.69,23
"6329","F","European",84,1.72,41
"6331","F","European",77,1.71,37
"6334","F","European",78,1.58,54
"6343","F","European",64,1.77,29
"6356","F","European",84.8,1.64,46
"6360","F","European",70.4,1.53,57
"6380","F","European",71.5,1.57,31
"6383","F","European",70,1.69,42
"6391","F","European",81.6,1.72,34
"6393","F","European",56,1.1,27
"6400","F","European",70.8,1.66,51
"6401","F","European",51,1.61,26
"6408","F","European",57,1.63,32
"6411","F","European",64.6,1.72,32
"6417","F","European",61.8,1.64,41
"6419","F","European",68.8,1.69,41
"6420","F","European",76,1.68,40
"6421","F","European",57.6,1.62,27
"6428","F","European",81.4,1.72,33
"6436","F","European",62,1.74,49
"6446","F","European",67.4,1.7,24
"6455","F","European",64.4,1.74,26
"6465","F","European",54.6,1.5,43
"6466","F","European",61,1.62,34
"6467","F","European",53,1.59,29
"6470","F","European",61.4,1.58,43
"6488","F","European",66,1.64,44
"6491","F","European",63,1.59,48
"6498","F","European",69,1.63,22
"6515","F","European",76,1.54,40
"6519","F","European",59.2,1.59,46
"6529","F","European",73.4,1.68,35
"6530","F","European",62,1.66,26
"6549","F","European",61,1.67,48
"6551","F","European",58.6,1.65,29
"6552","F","European",82,1.59,55
"6556","F","European",52.4,1.62,20
"6557","F","European",65,1.66,32
"6559","F","European",77.6,1.7,30
"6567","F","European",52.8,1.59,27
"6577","F","European",66.4,1.69,48
"6581","F","European",61.6,1.62,51
"6582","F","European",62,1.64,20
"6588","F","European",72.8,1.7,57
"6590","F","European",104,1.65,42
"6591","F","European",64.8,1.67,52
"6614","F","European",87,1.74,35
"6617","F","European",72,1.78,44
"6622","F","European",63.6,1.59,38
"6627","F","European",60.4,1.61,46
"6638","F","European",80,1.71,51
"6639","F","European",59.6,1.7,32
"6644","F","European",57,1.56,53
"6645","F","European",67.2,1.75,20
"6657","F","European",67,1.55,31
"6666","F","European",65.8,1.59,23
"6670","F","European",58.4,1.69,24
"6673","F","European",73.2,1.62,29
"6675","F","European",61.4,1.71,50
"6682","F","European",55.4,1.69,23
"6687","F","European",64.5,1.66,37
"6688","F","European",80,1.68,34
"6689","F","European",54.8,1.59,27
"6690","F","European",70.2,1.62,35
"6695","F","European",78.5,1.58,42
"6699","F","European",45.4,1.62,30
"6702","F","European",63.4,1.72,22
"6722","F","European",80,1.8,40
"6729","F","European",66.6,1.62,44
"6731","F","European",62.2,1.71,27
"6734","F","European",57,1.54,39
"6741","F","European",68.2,1.66,44
"6748","F","European",59.4,1.58,31
"6757","F","European",61.8,1.59,36
"6773","F","European",70,1.58,46
"6774","F","European",73,1.71,23
"6778","F","European",56,1.63,17
"6783","F","European",59,1.7,48
"6788","F","European",70,1.66,51
"6794","F","European",72.2,1.63,36
"6816","F","European",55,1.64,23
"6820","F","European",129,1.65,40
"6823","F","European",71.2,1.74,33
"6830","F","European",53.6,1.59,49
"6831","F","European",63.4,1.67,48
"6833","F","European",66,1.64,31
"6837","F","European",66.6,1.66,27
"6842","F","European",63,1.63,39
"6843","F","European",56,1.59,35
"6844","F","European",59,1.63,35
"6846","F","European",56.8,1.67,44
"6847","F","European",89,1.7,52
"6864","F","European",56,1.65,18
"6865","F","European",84.5,1.62,27
"6873","F","European",53,1.57,24
"6875","F","European",55.8,1.64,41
"6876","F","European",59.5,1.63,28
"6888","F","European",60,1.73,19
"6891","F","European",81,1.71,46
"6893","F","European",70.2,1.61,44
"6895","F","European",65,1.61,35
"6898","F","European",66,1.72,39
"6902","F","European",60.4,1.6,40
"6906","F","European",55,1.57,47
"6907","F","European",104,1.73,20
"6910","F","European",58.5,1.61,40
"6913","F","European",67,1.58,55
"6917","F","European",91.5,1.74,35
"6935","F","European",62,1.59,64
"6940","F","European",49,1.52,47
"6944","F","European",49,1.54,43
"6951","F","European",74.5,1.62,48
"6952","F","European",61,1.54,43
"6953","F","European",57,1.56,46
"6957","F","European",55.6,1.6,20
"6965","F","European",67.2,1.71,47
"6979","F","European",60.4,1.6,45
"6980","F","European",50.5,1.59,25
"6984","F","European",66,1.76,21
"6986","F","European",58.8,1.55,39
"6997","F","European",81,1.73,31
"7014","F","European",61.6,1.66,22
"7015","F","European",61.5,1.63,31
"7018","F","European",46,1.6,43
"7021","F","European",68.5,1.68,27
"7043","F","European",54.8,1.64,41
"7044","F","European",56,1.54,37
"7047","F","European",58.6,1.69,26
"7048","F","European",62.6,1.58,51
"7052","F","European",64.2,1.63,56
"7054","F","European",49,1.59,23
"7055","F","European",73.4,1.71,46
"7065","F","European",77.4,1.7,22
"7067","F","European",62,1.65,31
"7071","F","European",62.6,1.6,41
"7073","F","European",53.5,1.56,32
"7077","F","European",71,1.74,20
"7081","F","European",55,1.56,21
"7090","F","European",59,1.69,20
"7091","F","European",57,1.58,46
"7107","F","European",58.4,1.78,26
"7120","F","European",72.6,1.61,53
"7122","F","European",57,1.52,36
"7125","F","European",63.8,1.62,32
"7129","F","European",45.6,1.62,27
"7136","F","European",54,1.59,32
"7146","F","European",62,1.7,22
"7152","F","European",62.8,1.7,37
"7154","F","European",76.5,1.65,37
"7158","F","European",105,1.71,24
"7161","F","European",75,1.53,38
"7165","F","European",97,1.76,22
"7167","F","European",70.6,1.69,46
"7169","F","European",60,1.57,36
"7170","F","European",54,1.55,32
"7176","F","European",52.2,1.7,42
"7178","F","European",58.2,1.61,41
"7183","F","European",72,1.7,46
"7186","F","European",93.5,1.67,32
"7187","F","European",55,1.65,49
"7188","F","European",95,1.64,44
"7189","F","European",56.8,1.67,30
"7195","F","European",65,1.67,31
"7211","F","European",57,1.69,42
"7222","F","European",63,1.71,36
"7224","F","European",57,1.68,34
"7226","F","European",100,1.65,46
"7243","F","European",55.6,1.68,23
"7254","F","European",60.5,1.64,38
"7255","F","European",96.6,1.65,30
"7256","F","European",74,1.62,31
"7264","F","European",59.1,1.55,20
"7265","F","European",71,1.66,44
"7268","F","European",46.8,1.58,24
"7271","F","European",67,1.6,51
"7272","F","European",56.8,1.65,28
"7279","F","European",63.6,1.67,24
"7282","F","European",70.6,1.75,27
"7285","F","European",66,1.66,40
"7301","F","European",65.5,1.77,45
"7315","F","European",85,1.67,29
"7327","F","European",68.5,1.7,39
"7330","F","European",62.5,1.62,20
"7331","F","European",64,1.7,24
"7334","F","European",66.4,1.54,56
"7343","F","European",68.4,1.62,40
"7346","F","European",56.2,1.64,44
"7359","F","European",61.6,1.63,32
"7367","F","European",54,1.63,41
"7370","F","European",60.2,1.56,25
"7372","F","European",53.6,1.61,47
"7393","F","European",70,1.79,57
"7398","F","European",56.5,1.59,23
"7416","F","European",58.6,1.61,35
"7417","F","European",62,1.63,54
"7430","F","European",60,1.64,38
"7434","F","European",69,1.64,55
"7440","F","European",66.6,1.66,48
"7445","F","European",65,1.62,39
"7450","F","European",60,1.67,22
"7452","F","European",100.5,1.61,55
"7458","F","European",73,1.65,32
"7465","F","European",58,1.57,42
"7470","F","European",71,1.64,48
"7479","F","European",69,1.69,44
"7480","F","European",55.6,1.64,27
"7482","F","European",62.2,1.68,35
"7497","F","European",83.4,1.64,26
"7498","F","European",61.4,1.65,32
"7507","F","European",53,1.57,28
"7513","F","European",52,1.63,27
"7514","F","European",94,1.56,45
"7520","F","European",62.8,1.68,29
"7530","F","European",60,1.61,31
"7532","F","European",53,1.58,33
"7540","F","European",69.6,1.62,43
"7551","F","European",64.4,1.55,52
"7552","F","European",66.8,1.65,39
"7553","F","European",76,1.69,53
"7571","F","European",59,1.67,28
"7572","F","European",67,1.66,29
"7575","F","European",53,1.62,43
"7584","F","European",81,1.71,27
"7590","F","European",62.6,1.68,46
"7606","F","European",78.2,1.61,28
"7607","F","European",60,1.65,49
"7611","F","European",72.6,1.68,50
"7612","F","European",50.4,1.61,30
"7614","F","European",57.6,1.7,28
"7633","F","European",76.8,1.67,47
"7636","F","European",66,1.65,47
"7641","F","European",81,1.62,24
"7650","F","European",77.2,1.66,22
"7653","F","European",61.4,1.54,33
"7655","F","European",69,1.56,21
"7657","F","European",63.8,1.67,33
"7658","F","European",86,1.71,41
"7659","F","European",61,1.73,24
"7664","F","European",59,1.63,50
"7666","F","European",64.5,1.59,44
"7669","F","European",59,1.61,21
"7671","F","European",54,1.58,28
"7678","F","European",56,1.62,25
"7680","F","European",75,1.6,46
"7681","F","European",74.5,1.6,39
"7705","F","European",71,1.57,33
"7706","F","European",60.8,1.54,20
"7708","F","European",69.5,1.6,42
"7710","F","European",54,1.62,47
"7711","F","European",75.6,1.75,41
"7725","F","European",66.8,1.7,24
"7726","F","European",51.5,1.62,26
"7737","F","European",66.2,1.69,33
"7738","F","European",57,1.67,21
"7745","F","European",63,1.65,38
"7749","F","European",58.8,1.63,31
"7752","F","European",55.8,1.64,41
"7754","F","European",60.8,1.71,40
"7766","F","European",62,1.68,34
"7769","F","European",69,1.72,24
"7774","F","European",102,1.68,43
"7777","F","European",73,1.64,28
"7781","F","European",60.8,1.62,43
"7784","F","European",65,1.67,47
"7792","F","European",89.6,1.63,27
"7803","F","European",64,1.64,27
"7806","F","European",69,1.73,42
"7807","F","European",56,1.62,39
"7809","F","European",68,1.65,18
"7813","F","European",55.6,1.63,29
"7818","F","European",70.4,1.73,37
"7819","F","European",61.5,1.64,24
"7825","F","European",60,1.7,38
"7827","F","European",52,1.56,32
"7830","F","European",77.7,1.66,43
"7835","F","European",55,1.61,33
"7836","F","European",73.4,1.59,37
"7843","F","European",59,1.64,21
"7845","F","European",67,1.68,52
"7851","F","European",78,1.62,51
"7865","F","European",54.2,1.6,24
"7871","F","European",66.8,1.75,50
"7872","F","European",68.9,1.69,34
"7881","F","European",57,1.64,26
"7890","F","European",66,1.64,31
"7898","F","European",48.5,1.58,23
"7907","F","European",77,1.72,54
"7910","F","European",77,1.47,46
"7917","F","European",81.4,1.74,24
"7920","F","European",61,1.57,42
"7928","F","European",60.6,1.65,55
"7930","F","European",57,1.59,23
"7931","F","European",76,1.6,30
"7932","F","European",75,1.69,48
"7940","F","European",56.4,1.55,47
"7943","F","European",112.4,1.62,31
"7953","F","European",53.8,1.55,34
"7954","F","European",77,1.62,41
"7955","F","European",110,1.73,42
"7957","F","European",57.2,1.64,25
"7966","F","European",67.5,1.68,27
"7967","F","European",63.4,1.64,23
"7968","F","European",66,1.57,46
"7976","F","European",66,1.74,31
"7981","F","European",69.4,1.67,26
"7982","F","European",55.5,1.63,32
"7986","F","European",63,1.74,61
"7989","F","European",53.8,1.7,45
"8007","F","European",61,1.56,49
"8009","F","European",64,1.68,30
"8012","F","European",69,1.65,37
"8013","F","European",64,1.71,38
"8014","F","European",73,1.7,47
"8015","F","European",70,1.68,50
"8017","F","European",62,1.57,70
"8018","F","European",58,1.61,72
"8020","F","European",78,1.64,82
"8021","F","European",100,1.6,73
"8022","F","European",64,1.67,43
"8023","F","European",59,1.59,69
"8025","F","European",80,1.69,46
"8028","F","European",69,1.53,61
"8029","F","European",44,1.59,80
"8032","F","European",79,1.64,51
"8033","F","European",79,1.7,41
"8034","F","European",59,1.62,68
"8038","F","European",83,1.61,45
"8040","F","European",68,1.58,64
"8042","F","European",49,1.59,76
"8043","F","European",59,1.68,46
"8044","F","European",51,1.49,83
"8046","F","European",50,1.56,36
"8047","F","European",74,1.49,57
"8049","F","European",53,1.62,37
"8050","F","European",59,1.65,68
"8051","F","European",85,1.58,76
"8055","F","European",75,1.59,62
"8058","F","European",55,1.53,71
"8061","F","European",66,1.69,47
"8064","F","European",78,1.65,44
"8065","F","European",66,1.54,42
"8066","F","European",69,1.64,45
"8067","F","European",47,1.61,54
"8071","F","European",58,1.55,88
"8074","F","European",80,1.56,82
"8075","F","European",58,1.57,81
"8076","F","European",65,1.63,43
"8078","F","European",59,1.59,40
"8082","F","European",67,1.71,63
"8084","F","European",70,1.54,48
"8086","F","European",48,1.62,43
"8087","F","European",58,1.56,63
"8088","F","European",74,1.64,48
"8091","F","European",71,1.64,55
"8093","F","European",72,1.64,71
"8096","F","European",85,1.65,50
"8098","F","European",58,1.63,43
"8100","F","European",43,1.6,78
"8102","F","European",57,1.61,71
"8103","F","European",58,1.65,60
"8104","F","European",66,1.62,61
"8110","F","European",59,1.6,43
"8111","F","European",71,1.53,66
"8113","F","European",63,1.6,58
"8116","F","European",60,1.6,68
"8117","F","European",62,1.63,51
"8119","F","European",60,1.54,60
"8122","F","European",59,1.58,72
"8123","F","European",54,1.6,43
"8125","F","European",65,1.71,37
"8126","F","European",69,1.54,50
"8127","F","European",66,1.67,69
"8129","F","European",68,1.57,77
"8130","F","European",53,1.64,73
"8132","F","European",70,1.54,70
"8133","F","European",46,1.56,43
"8134","F","European",74,1.74,42
"8135","F","European",86,1.62,46
"8136","F","European",53,1.62,83
"8139","F","European",58,1.63,36
"8140","F","European",57,1.66,47
"8141","F","European",76,1.7,56
"8142","F","European",74,1.67,38
"8143","F","European",64,1.49,67
"8148","F","European",56,1.65,82
"8149","F","European",83,1.59,46
"8150","F","European",61,1.57,48
"8154","F","European",65,1.65,73
"8155","F","European",62,1.6,46
"8158","F","European",72,1.67,64
"8159","F","European",70,1.58,40
"8160","F","European",78,1.67,54
"8163","F","European",68,1.68,49
"8164","F","European",54,1.57,75
"8165","F","European",88,1.61,61
"8166","F","European",72,1.63,55
"8169","F","European",63,1.5,82
"8171","F","European",76,1.62,69
"8174","F","European",69,1.52,67
"8175","F","European",113,1.7,48
"8177","F","European",63,1.57,72
"8178","F","European",69,1.66,64
"8180","F","European",77,1.62,81
"8187","F","European",54,1.57,82
"8189","F","European",68,1.59,71
"8190","F","European",57,1.72,36
"8193","F","European",61,1.65,45
"8194","F","European",42,1.5,87
"8195","F","European",65,1.64,51
"8196","F","European",49,1.65,64
"8201","F","European",55,1.57,82
"8202","F","European",90,1.7,47
"8209","F","European",75,1.68,65
"8210","F","European",78,1.65,66
"8211","F","European",79,1.73,51
"8217","F","European",43,1.47,85
"8219","F","European",41,1.59,40
"8221","F","European",60,1.55,78
"8223","F","European",58,1.72,39
"8224","F","European",70,1.71,56
"8225","F","European",52,1.62,77
"8227","F","European",105,1.57,40
"8228","F","European",57,1.62,54
"8232","F","European",65,1.57,73
"8237","F","European",52,1.58,81
"8241","F","European",53,1.54,79
"8242","F","European",79,1.66,60
"8245","F","European",68,1.54,82
"8246","F","European",62,1.65,39
"8248","F","European",80,1.72,42
"8250","F","European",59,1.53,57
"8252","F","European",63,1.72,59
"8253","F","European",74,1.63,66
"8256","F","European",65,1.57,43
"8259","F","European",64,1.63,70
"8261","F","European",60,1.56,85
"8265","F","European",72,1.74,62
"8271","F","European",57,1.61,46
"8273","F","European",74,1.64,80
"8275","F","European",72,1.5,79
"8280","F","European",43,1.57,74
"8282","F","European",65,1.64,40
"8285","F","European",79,1.63,62
"8286","F","European",66,1.56,69
"8290","F","European",50,1.49,58
"8291","F","European",68,1.67,54
"8296","F","European",87,1.72,64
"8298","F","European",68,1.61,41
"8303","F","European",60,1.67,64
"8305","F","European",55,1.49,67
"8306","F","European",65,1.65,62
"8307","F","European",51,1.54,65
"8309","F","European",64,1.72,41
"8310","F","European",79,1.67,57
"8311","F","European",73,1.65,84
"8313","F","European",62,1.54,76
"8314","F","European",60,1.59,78
"8315","F","European",48,1.56,72
"8316","F","European",64,1.62,47
"8317","F","European",77,1.65,51
"8318","F","European",93,1.7,62
"8321","F","European",66,1.53,64
"8322","F","European",65,1.67,81
"8323","F","European",52,1.66,62
"8328","F","European",74,1.67,65
"8329","F","European",65,1.62,48
"8331","F","European",71,1.62,80
"8332","F","European",63,1.57,56
"8333","F","European",71,1.64,54
"8338","F","European",66,1.6,56
"8340","F","European",50,1.59,43
"8341","F","European",63,1.54,68
"8342","F","European",80,1.69,52
"8346","F","European",55,1.55,72
"8348","F","European",87,1.62,72
"8349","F","European",70,1.52,60
"8351","F","European",60,1.76,38
"8352","F","European",56,1.46,64
"8357","F","European",53,1.52,78
"8358","F","European",87,1.66,72
"8359","F","European",70,1.56,73
"8361","F","European",89,1.63,62
"8362","F","European",58,1.66,56
"8364","F","European",91,1.7,54
"8367","F","European",90,1.66,66
"8369","F","European",55,1.68,73
"8372","F","European",53,1.54,73
"8374","F","European",57,1.58,67
"8375","F","European",64,1.57,70
"8376","F","European",59,1.67,54
"8380","F","European",59,1.6,39
"8381","F","European",54,1.51,85
"8382","F","European",68,1.58,60
"8383","F","European",67,1.65,37
"8388","F","European",60,1.57,82
"8389","F","European",73,1.66,45
"8392","F","European",91,1.69,44
"8393","F","European",64,1.72,37
"8394","F","European",49,1.57,81
"8395","F","European",59,1.52,83
"8397","F","European",60,1.5,72
"8401","F","European",75,1.67,49
"8403","F","European",55,1.56,39
"8408","F","European",58,1.54,54
"8409","F","European",57,1.64,54
"8410","F","European",55,1.6,50
"8412","F","European",61,1.64,51
"8413","F","European",65,1.66,37
"8414","F","European",68,1.6,81
"8415","F","European",68,1.61,63
"8416","F","European",53,1.58,84
"8417","F","European",74,1.68,66
"8418","F","European",54,1.64,50
"8422","F","European",78,1.61,50
"8423","F","European",87,1.87,53
"8427","F","European",55,1.6,51
"8429","F","European",78,1.59,78
"8430","F","European",57,1.54,79
"8431","F","European",67,1.66,42
"8432","F","European",81,1.69,58
"8434","F","European",52,1.59,51
"8435","F","European",84,1.7,53
"8436","F","European",62,1.59,65
"8441","F","European",67,1.69,75
"8444","F","European",59,1.57,55
"8448","F","European",56,1.59,37
"8453","F","European",69,1.65,45
"8455","F","European",77,1.65,41
"8457","F","European",58,1.61,44
"8459","F","European",54,1.52,83
"8461","F","European",52,1.48,70
"8466","F","European",71,1.59,73
"8467","F","European",71,1.72,53
"8470","F","European",78,1.62,76
"8471","F","European",61,1.54,60
"8473","F","European",57,1.57,70
"8481","F","European",69,1.71,46
"8483","F","European",69,1.67,39
"8487","F","European",61,1.53,59
"8488","F","European",67,1.68,52
"8491","F","European",48,1.48,74
"8494","F","European",69,1.67,59
"8496","F","European",58,1.59,56
"8499","F","European",60,1.59,37
"8500","F","European",56,1.57,75
"8503","F","European",71,1.56,51
"8507","F","European",59,1.64,43
"8509","F","European",64,1.65,64
"8511","F","European",65,1.6,47
"8512","F","European",63,1.61,78
"8513","F","European",65,1.66,51
"8515","F","European",68,1.67,51
"8517","F","European",70,1.63,57
"8518","F","European",63,1.57,50
"8519","F","European",64,1.63,55
"8525","F","European",40,1.49,35
"8532","F","European",68,1.64,60
"8534","F","European",60,1.48,76
"8535","F","European",66,1.62,44
"8536","F","European",65,1.6,56
